[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0][0, 1, 0, 0][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0.634694][0, 1, 0, -0.0404472][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 1.40084][0, 1, 0, -0.200245][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 2.14303][0, 1, 0, -0.482541][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 2.87209][0, 1, 0, -0.907192][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 3.49661][0, 1, 0, -1.42597][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.08295][0, 1, 0, -2.11392][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.52786][0, 1, 0, -2.87903][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.82159][0, 1, 0, -3.67627][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.97971][0, 1, 0, -4.55006][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.98][0, 1, 0, -5.4468][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.82563][0, 1, 0, -6.30894][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.54][0, 1, 0, -7.09485][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 4.14278][0, 1, 0, -7.79953][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 3.64245][0, 1, 0, -8.42528][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 3.02359][0, 1, 0, -8.9822][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 2.35683][0, 1, 0, -9.40969][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 1.47227][0, 1, 0, -9.77833][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, 0.691298][0, 1, 0, -9.95198][0, 0, 1, 0][0, 0, 0, 1]]
[[1, 0, 0, -0.0479171][0, 1, 0, -9.99977][0, 0, 1, 0][0, 0, 0, 1]]
